"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Pandora - Streaming Music & Podcasts","com.pandora.android","https://play.google.com/store/apps/details?id=com.pandora.android","https://lh3.googleusercontent.com/MoJxQ-5RA73b3Wffj91crqXUb-C5LKRYCADm11KbfykIkmNbicXGDa3g9X62C_buEg","Pandora","Pandora","FREE",true,"Play music, podcasts &amp; SiriusXM shows and personalize your streaming experience!","4.4",4.4159093"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"YouTube Music - Stream Songs & Music Videos","com.google.android.apps.youtube.music","https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music","https://lh3.googleusercontent.com/Q31Wh3SxoayYdc_MOxGuKTn-nzh5TwoJwh48svH8ZnB0HmoXwOR5SzgF-mqftIn3Clg","Google LLC","5700313618786177705","FREE",true,"The official YouTube app built just for music.","4.1",4.0561028"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Spotify - Music and Podcasts","com.spotify.music","https://play.google.com/store/apps/details?id=com.spotify.music","https://lh3.googleusercontent.com/UrY7BAZ-XfXGpfkeWg0zCCeo-7ras4DCoRalC_WXXWTK9q5b0Iw7B0YQMsVxZaNB7DM","Spotify Ltd.","Spotify Ltd.","FREE",true,"Spotify gives you instant access to millions of songs and podcasts.","4.6",4.5706124"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Free Music - Unlimited offline Music download free","com.yy.musicfm.global","https://play.google.com/store/apps/details?id=com.yy.musicfm.global","https://lh3.googleusercontent.com/WKwEkoE9f_zOhIrcXL1AinBZMcyAdP7fDMmGywx3_ngO0VwQZXC9cIasE60sXACwh38","Free music player creator","Free music player creator","FREE",true,"A  music player, built for streaming and saving music offline an online","4.4",4.4152694"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"iHeartRadio - Free Music, Radio & Podcasts","com.clearchannel.iheartradio.controller","https://play.google.com/store/apps/details?id=com.clearchannel.iheartradio.controller","https://lh3.googleusercontent.com/w-uA-J1kngqlmVmsWn4MVLmGYWqRqplgnLkolQGg5Cge08QZnVBK8lO9R1YBSnr5WQNr","iHeartMedia, Inc.","8821283674927730745","FREE",true,"Your Music. Your Stations. Your Podcasts. All Free.","4.7",4.6609445"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Amazon Music","com.amazon.mp3","https://play.google.com/store/apps/details?id=com.amazon.mp3","https://lh3.googleusercontent.com/c0uMGe9aLRQxGtAXB_9xnKnG83VOGRD7NtglvnzPj9SYS3_ZYA_EYhtP86nePn0vjI0","Amazon Mobile LLC","Amazon Mobile LLC","FREE",true,"Find and play music you love – get the free Amazon Music app.","4.3",4.3262286"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Drum Pad Machine - Make Beats","com.agminstruments.drumpadmachine","https://play.google.com/store/apps/details?id=com.agminstruments.drumpadmachine","https://lh3.googleusercontent.com/2Z6BfzwC4GfccM17VX_2E1_OlI-PHJGxk24gAJE-kbfw4Fg-VypA6PCF4sAv0vLbySt7","Easybrain","7473634688510685864","FREE",true,"Be a true rapper and create beats music. This dj app is a perfect music mixer","4.5",4.4582067"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Apple Music","com.apple.android.music","https://play.google.com/store/apps/details?id=com.apple.android.music","https://lh3.googleusercontent.com/-E-jAfuwURMbYgvRhS8xLL8p280U9ueeC-IDrJOFmxGZpBJCWOY4jTbOKK1DZkPIFAUu","Apple Inc.","Apple Inc.","FREE",true,"50 million songs. All ad-free.","3.5",3.4565783"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Amazon Alexa","com.amazon.dee.app","https://play.google.com/store/apps/details?id=com.amazon.dee.app","https://lh3.googleusercontent.com/TrGtH5xYMUuyOSGSAUh3P_QfCgLlFjW4kKwd80YQ0ea_XTRmt5Eazcz_xp-__wdjicwN","Amazon Mobile LLC","Amazon Mobile LLC","FREE",true,"ALWAYS READY, CONNECTED, AND FAST. Just ask.","3.4",3.4313133"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"SoundCloud - Music & Audio","com.soundcloud.android","https://play.google.com/store/apps/details?id=com.soundcloud.android","https://lh3.googleusercontent.com/lvYCdrPNFU0Ar_lXln3JShoE-NaYF_V-DNlp4eLRZhUVkj00wAseSIm-60OoCKznpw","SoundCloud","SoundCloud","FREE",true,"The world’s largest audio and music streaming platform, with over 150M tracks","4.5",4.5081487
